yellow,green,red,white,season,,,,,,,,
,,,,,,,,,yellow,green,red,white
5.901376532,9.317472152,12.05831735,5.856852611,summer,,,,fall,7.042002465,13.11224199,10.46906738,7.02932629
6.319386789,10.49587474,12.9485468,7.114774989,fall,,,,spring,13.94193486,14.48594776,11.95028879,8.796603946
15.11163598,14.04127041,14.28888702,13.69073828,winter,,,,summer,7.117346936,13.23743208,10.74976728,6.607426442
14.7428718,11.20973724,12.30724094,8.076419791,spring,,,,winter,15.05094929,15.9939344,14.47251503,12.85607205
4.085333814,9.674517793,14.61380179,5.991424864,summer,,,,,,,,
5.621705934,10.15338074,12.64279147,6.494835181,fall,,,,,,,,
15.85633476,12.37633969,16.32883227,11.15039035,winter,,,,,,,,
14.7299078,10.86851143,16.21275983,8.792859489,spring,,,,,,,,
,,,,,,,,,,,,
11.3790244,12.98594674,13.2117945,7.256296378,summer,,,,,,,,
7.086011244,12.49643526,13.11560989,7.045949681,fall,,,,,,,,
16.42480288,17.40634379,18.65975913,15.73203856,winter,,,,,,,,
17.69726513,13.08793847,14.7352179,8.563485594,spring,,,,,,,,
7.397848226,13.81538887,13.56528853,7.858005001,summer,,,,,,,,
7.153614595,11.82405974,15.16489649,7.164669565,fall,,,,,,,,
12.43858284,14.81022376,16.35103225,13.98351057,winter,,,,,,,,
14.26735258,13.5779958,13.89308387,9.104098107,spring,,,,,,,,
,,,,,,,,,,,,
8.240292727,10.5434721,18.43438028,6.751984174,summer,,,,,,,,
12.22513687,9.656042128,14.97513504,7.407851137,fall,,,,,,,,
14.02885731,11.97687964,16.20823001,12.17214995,winter,,,,,,,,
10.77301957,11.10050678,18.3131486,8.867880108,spring,,,,,,,,
7.187953451,10.50817887,14.90526467,6.359989714,summer,,,,,,,,
7.404226867,10.72342999,18.14840346,6.609885629,fall,,,,,,,,
12.65366406,13.18966804,14.72257384,9.172398795,winter,,,,,,,,
11.92689479,11.22090983,15.00950635,7.536682068,spring,,,,,,,,
,,,,,,,,,,,,
6.276338336,8.631039494,9.881299401,6.591172991,summer,,,,,,,,
7.303372977,9.829798037,11.23425789,7.048889867,fall,,,,,,,,
15.82937297,14.83634417,15.58331842,12.9026985,winter,,,,,,,,
15.51827256,11.10008875,12.90495162,9.100423263,spring,,,,,,,,
7.726877022,9.147510593,12.42876528,6.699734615,summer,,,,,,,,
5.690707635,8.647834412,10.71901743,5.951232459,fall,,,,,,,,
15.51268615,14.32880591,15.35202144,13.48402284,winter,,,,,,,,
14.71189191,10.65121123,12.59736258,9.939237223,spring,,,,,,,,
,,,,,,,,,,,,
8.173720104,10.13847365,11.38115022,6.011379579,summer,,,,,,,,
8.643465862,10.46047667,11.16812576,7.175213462,fall,,,,,,,,
17.75850925,16.01031389,16.13836868,12.01791531,winter,,,,,,,,
16.74943986,12.12950789,13.21839748,8.811847414,spring,,,,,,,,
5.107737562,12.10928178,10.64866768,6.67304456,summer,,,,,,,,
5.806818858,9.334886465,13.23715699,6.215219725,fall,,,,,,,,
13.68069425,13.66451691,12.01084266,11.4085958,winter,,,,,,,,
16.62536827,11.25307118,14.52563496,8.98061584,spring,,,,,,,,
,,,,,,,,,,,,
9.774449497,11.05152441,11.68025281,6.606942498,summer,,,,,,,,
8.177060538,11.63391029,11.86240968,6.62055866,fall,,,,,,,,
16.01907304,16.31836406,16.42087012,15.84409259,winter,,,,,,,,
13.65041875,12.25792853,12.39052076,10.44051571,spring,,,,,,,,
5.807161663,11.91243654,12.8939566,6.849040128,summer,,,,,,,,
5.840943258,12.78936733,11.8479759,6.62984989,fall,,,,,,,,
13.99732206,16.03547827,15.83913703,13.41098601,winter,,,,,,,,
13.77522916,13.58631057,12.46053533,10.16109869,spring,,,,,,,,
,,,,,,,,,,,,
8.574878045,12.77120364,12.11038956,7.096672711,summer,,,,,,,,
5.459549921,13.0146303,12.40733891,7.210173666,fall,,,,,,,,
17.78551517,17.16669343,16.58014664,14.69012536,winter,,,,,,,,
16.0769597,17.29921917,14.96401224,8.650324328,spring,,,,,,,,
6.242520423,14.29684312,13.13995229,6.685032737,summer,,,,,,,,
5.389847917,12.81638154,13.88611381,7.593003229,fall,,,,,,,,
20.53771861,16.28638585,15.2658432,12.29557473,winter,,,,,,,,
17.02152356,13.90894814,14.68834446,8.336202501,spring,,,,,,,,
,,,,,,,,,,,,
9.512932673,11.73949297,11.26778723,7.131425261,summer,,,,,,,,
6.848960956,11.64208377,10.9690923,7.124837358,fall,,,,,,,,
13.27306491,15.66270728,15.70039775,13.01464313,winter,,,,,,,,
12.9198657,12.54622037,12.69908832,8.625879629,spring,,,,,,,,
6.252712218,13.15535938,10.51985205,5.903493828,summer,,,,,,,,
7.394872581,12.09300037,11.38534312,6.688263725,fall,,,,,,,,
13.26972872,13.12814692,15.91794667,13.21371366,winter,,,,,,,,
11.03827483,11.29922541,11.07727788,8.659229939,spring,,,,,,,,
,,,,,,,,,,,,
