warm,cold,dry,wet,color
30,40,0,26,yellow
21,22,4,26,green
23,19,12,23,red
24,28,11,30,white
18,42,0,25,yellow
21,21,5,27,green
23,19,12,22,red
24,29,10,30,white
20,40,0,25,yellow
21,20,6,28,green
23,19,12,23,red
24,32,7,30,white
20,12,0,26,yellow
24,19,2,24,green
20,13,2,25,red
22,23,0,29,white
18,8,0,25,yellow
19,12,2,24,green
18,8,1,23,red
19,15,0,29,white
12,8,0,25,yellow
19,12,2,24,green
18,8,1,22,red
19,15,0,29,white
11,9,0,25,yellow
19,14,0,21,green
17,9,1,25,red
19,15,0,29,white
12,8,0,25,yellow
17,14,2,23,green
17,9,1,25,red
19,16,0,28,white
12,8,0,25,yellow
14,15,0,22,green
14,9,1,23,red
16,14,0,29,white
9,37,20,23,yellow
20,12,35,14,green
22,22,41,22,red
15,27,25,27,white
9,37,17,26,yellow
26,6,34,13,green
22,23,47,16,red
15,27,25,27,white
9,37,17,26,yellow
19,13,31,17,green
21,23,49,14,red
15,27,25,27,white
10,14,23,26,yellow
13,9,28,23,green
16,19,29,29,red
12,21,21,28,white
5,18,13,26,yellow
15,7,19,21,green
14,11,46,15,red
9,14,20,29,white
5,18,13,26,yellow
16,4,24,19,green
15,10,47,14,red
9,14,20,29,white
5,18,13,26,yellow
12,6,26,20,green
15,10,49,12,red
9,14,20,29,white
6,13,17,26,yellow
9,10,20,20,green
14,13,37,15,red
9,14,23,25,white
3,13,6,30,yellow
10,8,22,19,green
11,11,42,13,red
7,13,18,29,white
18,22,32,19,yellow
44,16,17,15,green
29,29,28,16,red
27,23,14,16,white
16,22,28,22,yellow
45,16,18,12,green
30,28,29,15,red
27,22,14,17,white
12,22,13,37,yellow
45,16,19,12,green
27,27,29,18,red
30,20,14,16,white
14,9,10,34,yellow
39,13,9,21,green
32,15,23,24,red
26,11,9,20,white
27,6,9,22,yellow
40,4,9,13,green
32,13,23,17,red
25,6,7,21,white
26,6,9,22,yellow
40,4,12,11,green
36,12,25,12,red
22,9,7,21,white
24,6,9,23,yellow
40,4,13,12,green
35,13,26,11,red
21,9,7,22,white
12,10,10,28,yellow
36,5,10,18,green
31,13,20,21,red
17,9,9,24,white
22,7,9,21,yellow
38,4,8,16,green
29,14,21,18,red
14,8,5,28,white
21,21,18,30,yellow
30,23,18,27,green
30,21,20,18,red
30,23,24,17,white
20,21,17,30,yellow
30,23,17,26,green
29,21,21,19,red
30,23,22,19,white
20,21,17,29,yellow
30,24,14,28,green
31,21,18,18,red
30,23,21,20,white
19,13,6,31,yellow
30,17,9,30,green
32,17,14,17,red
30,18,12,23,white
20,10,0,36,yellow
30,11,11,28,green
30,9,15,16,red
30,11,9,23,white
20,10,0,34,yellow
30,11,11,28,green
32,9,16,14,red
30,11,9,23,white
20,10,0,33,yellow
30,11,16,22,green
31,9,17,12,red
30,11,9,23,white
20,10,10,22,yellow
30,10,13,27,green
32,8,18,12,red
28,11,5,29,white
20,10,2,31,yellow
29,10,15,24,green
32,9,19,8,red
30,10,4,28,white
21,26,17,13,yellow
42,22,32,6,green
18,15,47,5,red
22,21,33,17,white
21,26,9,13,yellow
55,17,29,2,green
18,13,50,4,red
22,22,33,16,white
21,26,9,13,yellow
56,17,30,1,green
18,13,50,4,red
22,26,29,16,white
20,26,13,2,yellow
47,27,26,1,green
13,17,43,5,red
23,31,22,12,white
19,32,7,0,yellow
56,17,22,0,green
10,12,46,3,red
19,33,21,7,white
19,32,7,0,yellow
56,17,25,0,green
10,12,46,3,red
19,33,21,7,white
19,32,7,0,yellow
56,17,26,0,green
10,11,47,3,red
19,33,21,7,white
19,31,8,0,yellow
32,35,24,2,green
10,12,45,2,red
22,24,26,7,white
19,31,7,0,yellow
49,21,22,0,green
7,11,47,2,red
16,24,23,8,white
22,15,17,31,yellow
25,11,18,27,green
30,9,18,28,red
16,17,17,29,white
22,15,17,31,yellow
25,11,22,26,green
30,9,23,23,red
16,17,17,29,white
22,13,17,32,yellow
25,10,20,28,green
30,7,25,21,red
16,17,17,29,white
22,1,13,34,yellow
25,0,15,32,green
30,1,14,30,red
16,0,15,31,white
22,0,11,32,yellow
25,0,13,30,green
30,0,23,18,red
16,0,11,30,white
22,0,13,32,yellow
25,0,11,29,green
30,0,23,18,red
16,0,11,30,white
22,0,13,32,yellow
25,0,15,29,green
30,0,26,15,red
16,0,11,30,white
22,0,10,34,yellow
25,0,10,30,green
30,0,17,20,red
16,0,10,30,white
22,0,9,30,yellow
25,0,14,28,green
30,0,24,13,red
16,0,10,30,white
33,31,19,15,yellow
26,20,18,15,green
22,23,12,20,red
30,24,15,19,white
33,30,18,17,yellow
31,14,19,15,green
20,22,14,21,red
28,24,15,21,white
